attendance_id,employee_id,attendance_date,scheduled_hours,worked_hours,absence_flag,absence_type,late_minutes,absence_day_count,missed_hours
800001,100001,2025-09-03,7.5,7.7,False,None,0.0,0,0.0
800002,100001,2025-09-17,7.5,7.0,False,None,0.0,0,0.5
800003,100001,2025-09-25,8.0,0.0,True,Unknown,0.0,1,8.0
800004,100001,2025-09-29,8.0,7.7,False,None,0.0,0,0.3
800005,100001,2025-10-01,9.0,8.7,False,None,0.0,0,0.3
800006,100001,2025-10-03,8.0,8.8,False,None,0.0,0,0.0
800007,100001,2025-10-09,8.0,7.2,False,None,45.0,0,0.8
800008,100001,2025-10-20,8.0,8.0,False,None,10.0,0,0.0
800009,100001,2025-10-21,9.0,9.1,False,None,0.0,0,0.0
800010,100001,2025-10-23,8.0,8.2,False,None,0.0,0,0.0
800011,100001,2025-10-29,8.0,7.2,False,None,0.0,0,0.8
800012,100001,2025-10-30,8.0,8.2,False,None,0.0,0,0.0
800013,100001,2025-11-06,7.5,6.5,False,None,10.0,0,1.0
800014,100001,2025-11-18,7.5,7.8,False,None,5.0,0,0.0
800015,100001,2025-11-24,8.0,7.7,False,None,10.0,0,0.3
800016,100001,2025-11-25,9.0,8.7,False,None,0.0,0,0.3
800017,100001,2025-12-05,8.0,7.0,False,None,5.0,0,1.0
800018,100001,2025-12-12,9.0,8.9,False,None,0.0,0,0.1
800019,100001,2025-12-15,8.0,7.8,False,None,0.0,0,0.2
800020,100001,2025-12-16,8.0,7.8,False,None,0.0,0,0.2
800021,100001,2025-12-18,8.0,7.2,False,None,0.0,0,0.8
800022,100001,2025-12-24,8.0,7.8,False,None,0.0,0,0.2
800023,100001,2026-01-14,7.5,7.6,False,None,0.0,0,0.0
800024,100001,2026-02-09,8.0,7.9,False,None,10.0,0,0.1
800025,100001,2026-02-10,8.0,8.1,False,None,0.0,0,0.0
800026,100001,2026-02-11,8.0,8.6,False,None,15.0,0,0.0
800027,100001,2026-02-17,7.5,8.1,False,None,0.0,0,0.0
800028,100001,2026-02-19,8.0,8.2,False,None,0.0,0,0.0
800029,100001,2026-04-02,8.0,8.6,False,None,10.0,0,0.0
800030,100001,2026-04-13,9.0,8.5,False,None,30.0,0,0.5
800031,100001,2026-04-20,9.0,9.5,False,None,0.0,0,0.0
800032,100001,2026-04-21,7.5,8.2,False,None,0.0,0,0.0
800033,100001,2026-04-22,9.0,9.3,False,None,0.0,0,0.0
800034,100001,2026-04-24,7.5,6.9,False,None,0.0,0,0.6
800035,100001,2026-04-29,9.0,8.7,False,None,0.0,0,0.3
800036,100001,2026-04-30,8.0,8.5,False,None,0.0,0,0.0
800037,100002,2026-02-09,9.0,8.6,False,None,0.0,0,0.4
