review_id,employee_id,review_date,performance_score,manager_score,goals_met_percentage,promotion_recommended,reviewer_id,performance_category
700001,100001,2026-02-17,3.22,2.65,50.6,False,100988,Meets Expectations
700002,100003,2024-10-07,4.55,4.42,83.3,False,100002,High Performer
700003,100004,2026-04-14,3.29,3.58,76.0,False,101545,Meets Expectations
700004,100004,2026-04-25,2.63,1.41,43.6,False,100575,Meets Expectations
700005,100005,2023-03-29,4.57,4.19,,False,100002,High Performer
700006,100005,2023-08-30,4.95,3.97,78.7,False,100002,High Performer
700007,100006,2022-02-28,3.77,4.42,80.1,False,100852,Strong Performer
700008,100006,2025-01-12,4.53,4.32,78.7,False,100180,High Performer
700009,100007,2021-12-28,4.16,4.1,84.8,True,100002,Strong Performer
700010,100007,2023-01-19,4.85,4.99,,True,100002,High Performer
700011,100007,2024-03-26,4.13,3.58,92.1,False,100002,Strong Performer
700012,100007,2024-04-15,3.82,4.82,58.9,False,100002,Strong Performer
700013,100008,2021-12-09,4.57,5.0,,False,100003,High Performer
700014,100008,2023-04-18,3.52,3.44,83.5,False,100003,Strong Performer
700015,100008,2025-01-20,4.03,4.12,70.7,True,100003,Strong Performer
700016,100008,2026-01-04,3.78,4.23,70.0,False,100003,Strong Performer
700017,100009,2025-11-27,3.2,3.71,,False,100002,Meets Expectations
700018,100010,2024-05-12,4.23,4.79,83.6,True,101539,Strong Performer
700019,100010,2025-08-28,4.7,4.84,,False,100379,High Performer
700020,100010,2025-12-19,3.84,3.92,72.7,False,100681,Strong Performer
700021,100010,2026-04-04,4.17,3.6,59.5,True,101266,Strong Performer
700022,100011,2023-04-21,4.44,4.82,84.3,True,100624,Strong Performer
700023,100011,2023-05-17,4.8,5.0,98.7,True,100680,High Performer
700024,100011,2024-08-23,4.64,5.0,,False,100784,High Performer
700025,100011,2025-07-02,5.0,4.71,,False,100319,High Performer
700026,100012,2024-05-13,3.38,3.24,84.3,False,101624,Meets Expectations
700027,100013,2024-07-18,4.35,4.24,74.2,True,100272,Strong Performer
700028,100013,2025-01-01,4.18,4.06,78.0,False,101708,Strong Performer
700029,100013,2025-05-19,3.67,3.95,,False,101536,Strong Performer
700030,100013,2025-08-22,3.68,3.67,48.2,False,101146,Strong Performer
700031,100014,2023-05-06,4.22,3.9,93.0,True,100063,Strong Performer
700032,100014,2024-07-01,4.96,,,False,100840,High Performer
700033,100014,2024-10-21,4.27,4.56,66.2,False,101711,Strong Performer
700034,100015,2021-03-22,4.89,4.87,89.0,False,100002,High Performer
700035,100015,2022-03-01,4.67,4.36,90.3,True,100002,High Performer
700036,100015,2022-10-04,4.61,4.68,79.7,True,100002,High Performer
700037,100015,2023-05-18,4.81,4.15,96.6,False,100002,High Performer
700038,100016,2025-10-04,3.06,3.37,64.8,False,100136,Meets Expectations
700039,100016,2025-11-01,2.65,2.41,46.1,False,101632,Meets Expectations
700040,100016,2025-11-24,2.71,,,False,101623,Meets Expectations
700041,100017,2021-06-26,3.08,3.29,84.6,False,100003,Meets Expectations
700042,100017,2023-12-14,3.11,3.5,82.2,False,100003,Meets Expectations
700043,100017,2024-02-14,3.63,3.75,85.2,False,100003,Strong Performer
700044,100017,2025-03-29,2.93,3.24,84.7,False,100003,Meets Expectations
700045,100018,2021-02-14,3.37,3.46,61.7,False,100010,Meets Expectations
700046,100019,2025-01-13,2.63,2.46,55.0,False,100010,Meets Expectations
700047,100019,2025-02-25,3.44,3.62,93.9,False,100010,Meets Expectations
700048,100020,2023-11-28,3.23,2.63,62.2,False,100016,Meets Expectations
700049,100020,2024-11-28,3.05,3.62,69.3,False,100016,Meets Expectations
700050,100020,2024-12-18,3.12,2.36,83.3,False,100016,Meets Expectations
