salary_id,employee_id,salary_amount,currency,effective_date,bonus_amount,pay_frequency,exchange_rate_to_usd,salary_amount_usd,bonus_amount_usd,annual_salary_usd,salary_band
500001,100001,81638.89,USD,2015-08-30,2618.51,Annual,1.0,81638.89,2618.51,81638.89,High
500002,100001,84939.47,USD,2015-10-21,14314.65,Annual,1.0,84939.47,14314.65,84939.47,High
500003,100001,89251.48,USD,2018-02-17,12654.84,Annual,1.0,89251.48,12654.84,89251.48,High
500004,100001,92302.9,USD,2018-09-05,14030.36,Annual,1.0,92302.9,14030.36,92302.9,High
500005,100001,98944.26,USD,2026-01-07,6930.63,Annual,1.0,98944.26,6930.63,98944.26,High
500006,100002,47000.0,USD,2026-04-24,4491.62,Monthly,1.0,47000.0,4491.62,47000.0,Medium
500007,100003,56963.21,INR,2015-11-22,1485.95,Annual,0.012,,17.83,,Unknown
500008,100003,61862.92,USD,2017-02-17,4176.5,Monthly,1.0,61862.92,4176.5,61862.92,Medium
500009,100003,66224.11,EGP,2019-03-17,6462.61,Annual,0.021,,135.71,,Unknown
500010,100003,71859.56,USD,2019-12-06,5414.66,Annual,1.0,71859.56,5414.66,71859.56,High
500011,100003,77745.0,AED,2021-11-03,3902.7,Annual,0.27,20991.15,1053.73,20991.15,Low
500012,100004,18370.28,USD,2026-03-21,0.0,Annual,1.0,18370.28,0.0,18370.28,Low
500013,100005,1986.52,USD,2022-03-18,0.0,Annual,1.0,,0.0,,Unknown
500014,100006,29352.66,USD,2015-04-11,0.0,Annual,1.0,29352.66,0.0,29352.66,Low
500015,100006,30714.51,USD,2018-12-30,0.0,Annual,1.0,30714.51,0.0,30714.51,Medium
500016,100006,,USD,2020-08-24,0.0,Annual,1.0,,0.0,,Unknown
500017,100007,11655.89,USD,2021-06-26,0.0,Annual,1.0,11655.89,0.0,11655.89,Low
500018,100007,12689.37,USD,2021-07-31,0.0,Annual,1.0,12689.37,0.0,12689.37,Low
500019,100007,13732.15,USD,2022-05-05,0.0,Annual,1.0,13732.15,0.0,13732.15,Low
500020,100007,14995.66,USD,2023-03-31,0.0,Annual,1.0,14995.66,0.0,14995.66,Low
500021,100007,15621.5,AED,2023-08-07,0.0,Annual,0.27,,0.0,,Unknown
500022,100008,17171.0,USD,2017-07-15,0.0,Annual,1.0,17171.0,0.0,17171.0,Low
500023,100008,17629.0,USD,2018-12-30,0.0,Annual,1.0,17629.0,0.0,17629.0,Low
500024,100008,18671.84,USD,2019-11-30,0.0,Annual,1.0,18671.84,0.0,18671.84,Low
500025,100008,19836.78,INR,2021-01-31,0.0,Annual,0.012,,0.0,,Unknown
500026,100008,20743.98,USD,2023-04-01,0.0,Annual,1.0,20743.98,0.0,20743.98,Low
500027,100009,12518.75,USD,2025-03-22,0.0,Monthly,1.0,12518.75,0.0,12518.75,Low
500028,100009,12999.08,USD,2026-01-27,0.0,Monthly,1.0,12999.08,0.0,12999.08,Low
500029,100010,101068.24,USD,2026-03-31,6091.83,Monthly,1.0,101068.24,6091.83,101068.24,High
500030,100011,71719.32,USD,2016-11-19,1435.6,Monthly,1.0,71719.32,1435.6,71719.32,High
500031,100011,74893.67,USD,2017-08-05,11761.94,Annual,1.0,74893.67,11761.94,74893.67,High
500032,100011,81920.09,USD,2022-08-14,10677.48,Monthly,1.0,81920.09,10677.48,81920.09,High
500033,100011,84612.0,USD,2022-09-24,7028.04,Annual,1.0,84612.0,7028.04,84612.0,High
500034,100012,16704.15,EGP,2024-04-05,0.0,Annual,0.021,,0.0,,Unknown
500035,100012,18223.87,USD,2025-11-20,0.0,Annual,1.0,18223.87,0.0,18223.87,Low
500036,100012,2386.29,USD,2025-10-12,0.0,Annual,1.0,,0.0,,Unknown
500037,100013,81282.67,JOD,2025-08-25,9235.48,Annual,1.41,114608.56,13022.03,114608.56,High
500038,100014,26498.3,JOD,2018-11-05,0.0,Annual,1.41,37362.6,0.0,37362.6,Medium
500039,100014,28649.75,USD,2020-06-21,0.0,Annual,1.0,28649.75,0.0,28649.75,Low
500040,100015,13998.65,USD,2019-09-16,0.0,Annual,1.0,13998.65,0.0,13998.65,Low
500041,100015,14978.58,USD,2019-11-13,0.0,Monthly,1.0,14978.58,0.0,14978.58,Low
500042,100015,15855.43,USD,2022-01-16,0.0,Monthly,1.0,15855.43,0.0,15855.43,Low
500043,100015,16905.3,INR,2023-06-26,0.0,Annual,0.012,,0.0,,Unknown
500044,100016,79430.27,USD,2015-10-09,2079.35,Annual,1.0,79430.27,2079.35,79430.27,High
500045,100016,84505.0,AED,2023-10-31,8097.46,Annual,0.27,22816.35,2186.31,22816.35,Low
500046,100017,,USD,2017-05-02,0.0,Annual,1.0,,0.0,,Unknown
500047,100018,60770.28,EGP,2017-12-12,4650.29,Monthly,0.021,,97.66,,Unknown
500048,100018,64515.7,JOD,2018-07-22,1310.89,Annual,1.41,90967.14,1848.35,90967.14,High
500049,100018,66867.85,USD,2019-03-03,8264.34,Annual,1.0,66867.85,8264.34,66867.85,Medium
500050,100018,72788.36,USD,2020-11-11,8554.6,Monthly,1.0,72788.36,8554.6,72788.36,High
500051,100019,85715.47,USD,2025-04-30,11924.51,Annual,1.0,85715.47,11924.51,85715.47,High
500052,100020,46178.39,USD,2021-06-25,3640.97,Annual,1.0,46178.39,3640.97,46178.39,Medium
500053,100020,49856.87,USD,2021-07-09,2000.0,Monthly,1.0,49856.87,2000.0,49856.87,Medium
500054,100020,53187.66,USD,2022-10-03,5177.22,Annual,1.0,53187.66,5177.22,53187.66,Medium
500055,100020,57930.57,USD,2023-09-05,4998.24,Annual,1.0,57930.57,4998.24,57930.57,Medium
500056,100021,79469.52,USD,2024-08-07,5415.33,Annual,1.0,79469.52,5415.33,79469.52,High
500057,100021,86060.02,USD,2024-12-07,7201.0,Annual,1.0,86060.02,7201.0,86060.02,High
500058,100021,93105.94,USD,2025-01-02,,Annual,1.0,93105.94,,93105.94,High
500059,100022,23391.14,USD,2020-04-03,1984.4,Monthly,1.0,23391.14,1984.4,23391.14,Low
500060,100022,24000.0,USD,2024-03-07,2637.59,Annual,1.0,24000.0,2637.59,24000.0,Low
500061,100023,62229.17,USD,2017-04-29,9951.61,Annual,1.0,62229.17,9951.61,62229.17,Medium
500062,100023,67714.77,USD,2018-07-09,7900.33,Annual,1.0,67714.77,7900.33,67714.77,Medium
500063,100023,69950.37,INR,2023-09-29,1720.62,Annual,0.012,,20.65,,Unknown
500064,100023,71955.61,USD,2025-03-25,1725.68,Annual,1.0,71955.61,1725.68,71955.61,High
500065,100024,46616.18,USD,2025-05-18,1153.13,Annual,1.0,46616.18,1153.13,46616.18,Medium
500066,100025,35933.35,AED,2016-10-24,1692.34,Annual,0.27,9702.0,456.93,9702.0,Low
500067,100026,26705.88,USD,2025-10-06,0.0,Annual,1.0,26705.88,0.0,26705.88,Low
500068,100026,,JOD,2025-11-12,0.0,Annual,1.41,,0.0,,Unknown
500069,100027,24205.47,USD,2022-11-19,0.0,Annual,1.0,24205.47,0.0,24205.47,Low
500070,100027,25211.04,USD,2023-05-29,0.0,Annual,1.0,25211.04,0.0,25211.04,Low
500071,100027,3240.5,JOD,2024-08-18,0.0,Annual,1.41,,0.0,,Unknown
500072,100027,3380.01,USD,2025-04-21,0.0,Annual,1.0,,0.0,,Unknown
500073,100028,31703.42,AED,2023-06-10,3003.1,Monthly,0.27,8559.92,810.84,8559.92,Low
500074,100029,19395.23,USD,2017-08-17,0.0,Annual,1.0,19395.23,0.0,19395.23,Low
500075,100029,20168.3,USD,2020-12-24,,Monthly,1.0,20168.3,,20168.3,Low
500076,100029,21705.87,USD,2024-02-20,0.0,Annual,1.0,21705.87,0.0,21705.87,Low
500077,100029,23263.02,JOD,2026-01-16,0.0,Annual,1.41,32800.86,0.0,32800.86,Medium
500078,100030,105686.4,USD,2015-04-12,18061.43,Annual,1.0,105686.4,18061.43,105686.4,High
500079,100030,115569.83,USD,2017-11-11,9248.29,Annual,1.0,115569.83,9248.29,115569.83,High
