survey_id,employee_id,survey_date,satisfaction_score,engagement_score,work_life_balance_score,manager_relationship_score,career_growth_score,compensation_satisfaction_score,overall_satisfaction_score,satisfaction_category
900001,100001,2023-10-15,4.0,4.0,3.0,4.0,3.0,4.0,3.67,High Satisfaction
900002,100002,2026-04-04,2.0,3.0,3.0,3.0,2.0,2.0,2.5,Low Satisfaction
900003,100002,2026-04-10,3.0,3.0,3.0,3.0,3.0,2.0,2.83,Medium Satisfaction
900004,100002,2026-04-19,2.0,2.0,3.0,3.0,2.0,2.0,2.33,Low Satisfaction
900005,100002,2026-04-23,3.0,,3.0,3.0,3.0,3.0,3.0,Medium Satisfaction
900006,100003,2025-05-17,3.0,2.0,4.0,4.0,2.0,3.0,3.0,Medium Satisfaction
900007,100003,2026-02-24,3.0,3.0,3.0,3.0,2.0,2.0,2.67,Medium Satisfaction
900008,100005,2023-09-27,3.0,3.0,3.0,3.0,2.0,2.0,2.67,Medium Satisfaction
900009,100006,2022-09-05,4.0,3.0,3.0,4.0,3.0,4.0,3.5,High Satisfaction
900010,100006,2022-09-12,3.0,3.0,3.0,3.0,3.0,2.0,2.83,Medium Satisfaction
900011,100006,2023-08-10,3.0,3.0,3.0,,2.0,2.0,2.6,Medium Satisfaction
900012,100007,2022-09-13,3.0,4.0,,2.0,3.0,3.0,3.0,Medium Satisfaction
900013,100007,2023-03-31,3.0,4.0,4.0,3.0,3.0,3.0,3.33,Medium Satisfaction
900014,100007,2024-03-11,3.0,3.0,3.0,3.0,2.0,2.0,2.67,Medium Satisfaction
900015,100007,2024-10-20,3.0,2.0,3.0,2.0,4.0,3.0,2.83,Medium Satisfaction
900016,100008,2024-08-08,5.0,5.0,5.0,5.0,5.0,5.0,5.0,High Satisfaction
900017,100008,2025-08-02,4.0,4.0,5.0,5.0,4.0,4.0,4.33,High Satisfaction
900018,100009,2025-06-08,3.0,2.0,2.0,3.0,2.0,2.0,2.33,Medium Satisfaction
900019,100009,2025-09-06,3.0,2.0,4.0,3.0,3.0,3.0,3.0,Medium Satisfaction
900020,100010,2024-07-29,2.0,2.0,2.0,3.0,2.0,1.0,2.0,Low Satisfaction
900021,100010,2025-04-25,3.0,2.0,3.0,3.0,2.0,3.0,2.67,Medium Satisfaction
900022,100010,2025-12-11,2.0,3.0,2.0,2.0,2.0,2.0,2.17,Low Satisfaction
900023,100010,2026-01-30,2.0,2.0,2.0,2.0,2.0,2.0,2.0,Low Satisfaction
900024,100011,2022-12-13,5.0,,4.0,5.0,5.0,4.0,4.6,High Satisfaction
900025,100011,2025-06-01,4.0,4.0,5.0,4.0,4.0,4.0,4.17,High Satisfaction
900026,100012,2024-03-20,5.0,5.0,4.0,4.0,5.0,4.0,4.5,High Satisfaction
900027,100013,2024-11-20,4.0,4.0,3.0,3.0,,4.0,3.6,High Satisfaction
900028,100015,2023-10-18,2.0,2.0,2.0,2.0,1.0,1.0,1.67,Low Satisfaction
900029,100019,2024-08-12,2.0,2.0,2.0,2.0,3.0,3.0,2.33,Low Satisfaction
900030,100019,2024-11-24,2.0,2.0,2.0,2.0,3.0,2.0,2.17,Low Satisfaction
900031,100020,2022-01-17,2.0,2.0,2.0,3.0,2.0,2.0,2.17,Low Satisfaction
900032,100020,2022-08-30,3.0,2.0,2.0,3.0,3.0,2.0,2.5,Medium Satisfaction
900033,100020,2023-11-02,2.0,1.0,2.0,1.0,2.0,2.0,1.67,Low Satisfaction
900034,100020,2023-02-23,3.0,3.0,2.0,2.0,3.0,1.0,2.33,Medium Satisfaction
900035,100021,,2.0,1.0,2.0,2.0,2.0,2.0,1.83,Low Satisfaction
900036,100021,2025-04-14,1.0,2.0,1.0,2.0,1.0,1.0,1.33,Low Satisfaction
900037,100022,2022-10-26,3.0,3.0,2.0,3.0,2.0,3.0,2.67,Medium Satisfaction
900038,100022,2024-12-25,3.0,3.0,2.0,2.0,3.0,2.0,2.5,Medium Satisfaction
900039,100022,2025-05-06,3.0,3.0,3.0,5.0,3.0,3.0,3.33,Medium Satisfaction
900040,100023,2022-11-14,3.0,4.0,3.0,2.0,,3.0,3.0,Medium Satisfaction
900041,100023,2024-05-11,3.0,4.0,3.0,3.0,3.0,4.0,3.33,Medium Satisfaction
900042,100023,2024-08-24,3.0,3.0,4.0,2.0,3.0,3.0,3.0,Medium Satisfaction
900043,100024,2025-07-26,2.0,2.0,2.0,,3.0,2.0,2.2,Low Satisfaction
900044,100024,2025-09-22,2.0,2.0,2.0,2.0,2.0,2.0,2.0,Low Satisfaction
900045,100024,2026-02-05,3.0,3.0,2.0,3.0,2.0,3.0,2.67,Medium Satisfaction
900046,100025,2022-02-09,3.0,3.0,3.0,2.0,3.0,2.0,2.67,Medium Satisfaction
900047,100025,2022-10-07,3.0,4.0,3.0,3.0,2.0,3.0,3.0,Medium Satisfaction
900048,100025,2023-01-11,3.0,3.0,3.0,4.0,,2.0,3.0,Medium Satisfaction
900049,100027,2025-10-01,3.0,3.0,2.0,3.0,3.0,2.0,2.67,Medium Satisfaction
900050,100028,2022-08-13,3.0,2.0,2.0,3.0,2.0,3.0,2.5,Medium Satisfaction
900051,100028,2023-11-29,2.0,,3.0,4.0,2.0,1.0,2.4,Low Satisfaction
900052,100028,2024-09-20,2.0,2.0,2.0,2.0,3.0,1.0,2.0,Low Satisfaction
900053,100028,2025-05-19,3.0,3.0,3.0,2.0,3.0,2.0,2.67,Medium Satisfaction
900054,100030,2023-11-29,4.0,4.0,4.0,5.0,4.0,4.0,4.17,High Satisfaction
900055,100030,2025-07-18,3.0,3.0,3.0,4.0,3.0,3.0,3.17,Medium Satisfaction
900056,100030,2025-08-30,3.0,3.0,3.0,4.0,3.0,3.0,3.17,Medium Satisfaction
900057,100031,2026-04-08,3.0,3.0,3.0,4.0,3.0,1.0,2.83,Medium Satisfaction
900058,100031,2026-04-10,2.0,3.0,2.0,3.0,1.0,2.0,2.17,Low Satisfaction
900059,100031,2026-04-18,2.0,1.0,3.0,2.0,2.0,2.0,2.0,Low Satisfaction
900060,100031,2026-04-28,2.0,3.0,3.0,3.0,2.0,2.0,2.5,Low Satisfaction
900061,100032,2024-08-23,4.0,4.0,4.0,3.0,4.0,4.0,3.83,High Satisfaction
900062,100032,2024-11-17,4.0,4.0,4.0,5.0,4.0,4.0,4.17,High Satisfaction
900063,100032,2025-09-03,4.0,,4.0,4.0,4.0,4.0,4.0,High Satisfaction
900064,100032,2026-04-30,4.0,3.0,3.0,4.0,4.0,4.0,3.67,High Satisfaction
900065,100033,2024-03-05,4.0,4.0,5.0,5.0,4.0,3.0,4.17,High Satisfaction
900066,100033,2025-03-04,4.0,4.0,4.0,4.0,4.0,3.0,3.83,High Satisfaction
900067,100033,2025-09-07,4.0,4.0,4.0,5.0,4.0,5.0,4.33,High Satisfaction
900068,100035,2022-09-11,4.0,4.0,5.0,4.0,4.0,4.0,4.17,High Satisfaction
900069,100035,2023-07-21,4.0,4.0,4.0,4.0,3.0,3.0,3.67,High Satisfaction
900070,100036,2023-09-05,4.0,4.0,3.0,4.0,3.0,3.0,3.5,High Satisfaction
900071,100036,2025-02-15,3.0,4.0,,4.0,3.0,3.0,3.4,Medium Satisfaction
900072,100036,2025-10-13,4.0,4.0,4.0,4.0,4.0,4.0,4.0,High Satisfaction
900073,100037,2022-11-09,3.0,3.0,3.0,3.0,3.0,3.0,3.0,Medium Satisfaction
900074,100037,2023-04-23,3.0,3.0,3.0,3.0,3.0,2.0,2.83,Medium Satisfaction
900075,100037,2025-01-02,3.0,3.0,2.0,3.0,3.0,2.0,2.67,Medium Satisfaction
900076,100037,2026-03-27,2.0,3.0,2.0,,2.0,2.0,2.2,Low Satisfaction
900077,100038,2022-05-15,4.0,3.0,3.0,4.0,3.0,3.0,3.33,High Satisfaction
900078,100038,2023-11-24,2.0,3.0,2.0,,3.0,2.0,2.4,Low Satisfaction
900079,100040,2024-06-04,3.0,2.0,3.0,2.0,2.0,1.0,2.17,Medium Satisfaction
900080,100041,2024-03-29,2.0,2.0,3.0,2.0,2.0,2.0,2.17,Low Satisfaction
900081,100041,2024-12-02,3.0,3.0,3.0,2.0,3.0,3.0,2.83,Medium Satisfaction
900082,100041,2025-03-20,3.0,3.0,3.0,3.0,3.0,,3.0,Medium Satisfaction
900083,100042,2023-11-02,3.0,4.0,3.0,2.0,3.0,4.0,3.17,Medium Satisfaction
900084,100044,2026-04-25,4.0,4.0,5.0,4.0,5.0,4.0,4.33,High Satisfaction
900085,100044,2026-04-26,4.0,3.0,4.0,4.0,4.0,3.0,3.67,High Satisfaction
900086,100045,2026-01-29,4.0,4.0,4.0,4.0,3.0,4.0,3.83,High Satisfaction
900087,100045,2026-02-14,4.0,4.0,4.0,5.0,4.0,5.0,4.33,High Satisfaction
900088,100046,2023-10-02,3.0,2.0,2.0,4.0,3.0,3.0,2.83,Medium Satisfaction
900089,100046,2025-09-30,3.0,3.0,3.0,2.0,4.0,2.0,2.83,Medium Satisfaction
900090,100047,2024-04-09,4.0,4.0,4.0,4.0,4.0,4.0,4.0,High Satisfaction
900091,100048,2024-11-20,3.0,3.0,4.0,3.0,2.0,2.0,2.83,Medium Satisfaction
900092,100048,2025-06-19,4.0,4.0,4.0,4.0,3.0,4.0,3.83,High Satisfaction
900093,100049,2024-08-31,5.0,4.0,5.0,4.0,4.0,5.0,4.5,High Satisfaction
900094,100050,2022-02-04,3.0,4.0,2.0,5.0,3.0,3.0,3.33,Medium Satisfaction
900095,100050,2022-02-15,4.0,4.0,5.0,4.0,4.0,3.0,4.0,High Satisfaction
900096,100050,2022-10-07,4.0,3.0,3.0,3.0,4.0,3.0,3.33,High Satisfaction
900097,100050,2026-03-22,4.0,4.0,4.0,5.0,,4.0,4.2,High Satisfaction
900098,100051,2024-03-25,4.0,4.0,3.0,4.0,4.0,4.0,3.83,High Satisfaction
900099,100051,2024-11-23,4.0,4.0,4.0,3.0,4.0,3.0,3.67,High Satisfaction
900100,100052,2022-06-02,4.0,4.0,3.0,4.0,4.0,2.0,3.5,High Satisfaction
900101,100052,2023-12-27,3.0,3.0,3.0,4.0,4.0,4.0,3.5,Medium Satisfaction
900102,100052,2025-09-04,4.0,4.0,4.0,5.0,4.0,5.0,4.33,High Satisfaction
900103,100052,2026-03-06,3.0,3.0,4.0,3.0,3.0,4.0,3.33,Medium Satisfaction
900104,100053,2024-11-15,4.0,3.0,3.0,3.0,,3.0,3.2,High Satisfaction
900105,100053,2025-11-07,5.0,4.0,5.0,5.0,4.0,4.0,4.5,High Satisfaction
900106,100054,2023-11-26,4.0,3.0,4.0,5.0,5.0,5.0,4.33,High Satisfaction
900107,100054,2023-12-13,3.0,3.0,3.0,4.0,3.0,4.0,3.33,Medium Satisfaction
900108,100056,2022-08-26,2.0,3.0,3.0,3.0,3.0,2.0,2.67,Low Satisfaction
900109,100056,2025-07-19,2.0,2.0,2.0,2.0,2.0,2.0,2.0,Low Satisfaction
900110,100056,2025-11-08,2.0,1.0,2.0,2.0,2.0,1.0,1.67,Low Satisfaction
900111,100057,2026-04-16,3.0,3.0,3.0,3.0,3.0,3.0,3.0,Medium Satisfaction
900112,100058,2023-02-17,3.0,3.0,3.0,3.0,4.0,4.0,3.33,Medium Satisfaction
900113,100058,2023-03-06,4.0,4.0,4.0,4.0,5.0,4.0,4.17,High Satisfaction
900114,100058,2023-09-20,4.0,5.0,3.0,4.0,4.0,5.0,4.17,High Satisfaction
900115,100059,2025-08-17,4.0,3.0,,4.0,4.0,4.0,3.8,High Satisfaction
900116,100059,2026-03-09,3.0,3.0,4.0,3.0,3.0,4.0,3.33,Medium Satisfaction
900117,100060,2023-10-25,4.0,4.0,5.0,4.0,5.0,4.0,4.33,High Satisfaction
900118,100060,2024-12-19,4.0,4.0,5.0,4.0,3.0,3.0,3.83,High Satisfaction
900119,100060,2026-03-12,3.0,4.0,3.0,3.0,4.0,3.0,3.33,Medium Satisfaction
900120,100060,2026-04-17,3.0,,3.0,2.0,3.0,2.0,2.6,Medium Satisfaction
900121,100061,2022-09-14,3.0,3.0,3.0,2.0,3.0,2.0,2.67,Medium Satisfaction
900122,100062,2022-01-23,3.0,4.0,3.0,3.0,2.0,3.0,3.0,Medium Satisfaction
900123,100062,2022-04-26,4.0,4.0,4.0,4.0,5.0,5.0,4.33,High Satisfaction
900124,100062,2022-05-25,4.0,,4.0,3.0,3.0,4.0,3.6,High Satisfaction
900125,100062,2022-10-13,2.0,3.0,2.0,2.0,2.0,3.0,2.33,Low Satisfaction
900126,100063,2024-09-01,4.0,4.0,4.0,5.0,4.0,4.0,4.17,High Satisfaction
900127,100063,2025-09-02,4.0,4.0,3.0,4.0,3.0,5.0,3.83,High Satisfaction
900128,100064,2024-04-27,4.0,4.0,3.0,3.0,4.0,5.0,3.83,High Satisfaction
900129,100064,2024-11-19,3.0,3.0,3.0,3.0,4.0,4.0,3.33,Medium Satisfaction
900130,100064,2024-12-21,4.0,4.0,5.0,4.0,3.0,4.0,4.0,High Satisfaction
900131,100064,2026-03-21,4.0,4.0,4.0,4.0,4.0,4.0,4.0,High Satisfaction
900132,100065,2026-04-09,3.0,3.0,3.0,2.0,3.0,2.0,2.67,Medium Satisfaction
900133,100065,2026-04-29,3.0,4.0,4.0,4.0,3.0,3.0,3.5,Medium Satisfaction
900134,100065,2026-05-01,2.0,2.0,2.0,2.0,3.0,2.0,2.17,Low Satisfaction
900135,100067,2025-08-04,3.0,3.0,3.0,3.0,3.0,3.0,3.0,Medium Satisfaction
900136,100067,2025-04-29,3.0,3.0,3.0,3.0,3.0,2.0,2.83,Medium Satisfaction
900137,100069,2022-11-06,5.0,5.0,5.0,4.0,4.0,4.0,4.5,High Satisfaction
900138,100069,2024-01-30,5.0,3.0,5.0,5.0,5.0,5.0,4.67,High Satisfaction
900139,100069,2024-03-30,4.0,4.0,4.0,4.0,3.0,4.0,3.83,High Satisfaction
900140,100069,2024-04-05,5.0,5.0,5.0,5.0,4.0,5.0,4.83,High Satisfaction
900141,100070,2022-05-30,2.0,3.0,3.0,3.0,2.0,2.0,2.5,Low Satisfaction
900142,100070,2023-05-11,3.0,3.0,4.0,3.0,4.0,3.0,3.33,Medium Satisfaction
900143,100070,2024-03-17,3.0,3.0,3.0,2.0,3.0,3.0,2.83,Medium Satisfaction
900144,100070,2024-08-15,3.0,3.0,3.0,3.0,4.0,3.0,3.17,Medium Satisfaction
900145,100071,2023-06-02,4.0,5.0,5.0,5.0,4.0,4.0,4.5,High Satisfaction
900146,100071,2023-08-24,4.0,3.0,4.0,3.0,4.0,4.0,3.67,High Satisfaction
