training_id,employee_id,program_name,training_category,start_date,completion_date,completion_status,training_score,training_hours,completed_flag
300001,100001,New Hire Onboarding,Onboarding,2023-12-29,2024-02-01,Completed,78.5,7.5,True
300002,100001,Advanced Customer Handling,Customer Experience,2025-08-18,2025-08-27,Completed,72.8,12.1,True
300003,100001,New Hire Onboarding,Onboarding,2021-03-11,2021-04-05,Completed,74.1,8.2,True
300004,100002,Manager Coaching Skills,Leadership,2026-02-27,2026-03-26,Completed,63.1,21.3,True
300005,100003,Leadership Essentials,Leadership,2023-06-30,2023-07-02,Completed,79.1,24.4,True
300006,100004,New Hire Onboarding,Onboarding,2025-12-24,,Incomplete,,6.7,False
300007,100004,Sql For Business Analysts,Technical,2026-02-02,2026-03-08,Completed,70.8,24.6,True
300008,100004,Manager Coaching Skills,Leadership,2026-02-15,2026-03-11,Completed,64.0,16.8,True
300009,100005,New Hire Onboarding,Onboarding,2024-03-26,2024-04-17,Completed,79.6,8.8,True
300010,100005,Product Discovery Basics,Product,2023-02-10,2023-03-07,Completed,80.4,8.9,True
300011,100005,Advanced Customer Handling,Customer Experience,2023-05-21,,In Progress,,13.8,False
300012,100005,Cybersecurity Awareness,Compliance,2024-01-18,2024-01-27,Completed,68.0,1.5,True
300013,100006,New Hire Onboarding,Onboarding,2025-07-13,2025-07-30,Completed,85.5,7.7,True
300014,100007,Secure Coding Basics,Technical,2021-03-13,2021-04-27,Completed,92.4,8.8,True
300015,100008,New Hire Onboarding,Onboarding,2025-08-12,2025-09-14,Completed,65.9,7.8,True
300016,100008,Advanced Customer Handling,Customer Experience,2026-01-11,,Completed,73.8,11.2,True
300017,100008,Conflict Resolution,Soft Skills,,,Not Started,,5.8,False
300018,100009,New Hire Onboarding,Onboarding,2026-02-19,2026-02-28,Completed,72.3,9.3,True
300019,100009,Enterprise Sales Methodology,Sales,2025-09-28,2025-10-20,Completed,94.0,14.4,True
300020,100010,New Hire Onboarding,Onboarding,2024-03-03,,In Progress,,5.4,False
300021,100010,Sql For Business Analysts,Technical,2024-01-24,,In Progress,,23.3,False
300022,100010,Secure Coding Basics,Technical,2026-02-15,,Not Started,,8.7,False
300023,100010,Power Bi Fundamentals,Technical,2023-11-04,2023-11-09,Completed,70.5,16.1,True
300024,100011,New Hire Onboarding,Onboarding,2024-08-13,,In Progress,,7.8,False
300025,100011,Manager Coaching Skills,Leadership,2023-09-08,2023-10-21,Completed,81.8,14.0,True
300026,100011,New Hire Onboarding,Onboarding,2021-09-17,2021-10-13,Completed,100.0,7.4,True
300027,100011,Data Privacy And Gdpr,Compliance,2025-04-01,2025-04-24,Completed,76.9,3.4,True
300028,100011,Leadership Essentials,Leadership,2024-05-02,2024-05-28,Completed,76.5,14.7,True
300029,100012,New Hire Onboarding,Onboarding,2025-05-16,2025-05-31,Completed,84.5,6.9,True
300030,100012,Power Bi Fundamentals,Technical,2024-10-28,,Not Started,,14.9,False
300031,100012,Secure Coding Basics,Technical,2025-02-02,2025-02-12,Completed,91.2,10.9,True
300032,100012,Sql For Business Analysts,Technical,2025-03-25,2025-04-27,Completed,78.1,12.4,True
300033,100012,Manager Coaching Skills,Leadership,2025-09-24,2025-10-20,Completed,79.6,13.3,True
300034,100013,New Hire Onboarding,Onboarding,2025-12-21,2025-12-30,Completed,76.8,7.2,True
300035,100013,Manager Coaching Skills,Leadership,2024-03-16,2024-04-15,Completed,81.3,17.5,True
300036,100013,Cybersecurity Awareness,Compliance,2024-12-08,2025-01-22,Completed,77.1,2.9,True
300037,100013,Power Bi Fundamentals,Technical,2024-02-10,,In Progress,,19.7,False
300038,100013,Leadership Essentials,Leadership,2024-12-24,,Not Started,,27.3,False
300039,100014,New Hire Onboarding,Onboarding,2026-03-02,,In Progress,,9.4,False
300040,100014,Leadership Essentials,Leadership,2025-12-24,,Completed,70.8,21.3,True
300041,100014,Enterprise Sales Methodology,Sales,2023-02-20,2023-04-01,Completed,68.3,20.5,True
300042,100015,New Hire Onboarding,Onboarding,2021-03-10,2021-03-31,Completed,83.4,6.7,True
300043,100015,Cybersecurity Awareness,Compliance,2021-10-03,,Not Started,,2.2,False
300044,100015,Leadership Essentials,Leadership,2022-02-28,,In Progress,,21.3,False
300045,100015,Product Discovery Basics,Product,2023-01-29,2023-03-04,Completed,69.0,10.6,True
300046,100015,Advanced Customer Handling,Customer Experience,2023-12-23,2024-02-03,Completed,89.4,16.9,True
300047,100015,Secure Coding Basics,Technical,2021-05-17,,Incomplete,,9.4,False
300048,100015,Sql For Business Analysts,Technical,2021-04-19,2021-05-19,Completed,80.5,19.3,True
300049,100016,New Hire Onboarding,Onboarding,2022-10-09,,In Progress,,7.1,False
300050,100016,Manager Coaching Skills,Leadership,2021-01-04,,Not Started,,19.4,False
300051,100016,Conflict Resolution,Soft Skills,2022-12-25,2023-01-30,Completed,78.6,5.9,True
300052,100016,Advanced Customer Handling,Customer Experience,2022-07-20,2022-08-27,Completed,93.5,11.2,True
300053,100016,Enterprise Sales Methodology,Sales,2021-11-16,2021-11-30,Completed,87.0,13.2,True
300054,100016,Manager Coaching Skills,Leadership,2021-06-02,,Not Started,,14.5,False
300055,100017,New Hire Onboarding,Onboarding,2021-06-24,2021-07-31,Completed,96.8,6.4,True
300056,100018,New Hire Onboarding,Onboarding,2021-07-11,2021-07-24,Completed,71.4,7.6,True
300057,100018,Advanced Customer Handling,Customer Experience,2021-01-05,2021-05-03,Completed,80.9,12.5,True
300058,100018,Power Bi Fundamentals,Technical,2021-08-30,,Not Started,,10.5,False
300059,100018,Leadership Essentials,Leadership,2021-04-02,,In Progress,,19.3,False
300060,100019,New Hire Onboarding,Onboarding,2024-07-16,,Not Started,,8.2,False
300061,100019,Manager Coaching Skills,Leadership,2024-06-21,2024-07-03,Completed,91.1,8.4,True
300062,100019,New Hire Onboarding,Onboarding,2025-03-31,2025-05-09,Completed,100.0,8.4,True
300063,100019,Advanced Customer Handling,Customer Experience,2024-07-25,,Not Started,,11.3,False
300064,100019,Enterprise Sales Methodology,Sales,2024-08-17,2024-09-03,Completed,82.0,13.3,True
300065,100019,Product Discovery Basics,Product,2024-10-20,2024-11-17,Completed,57.9,11.2,True
300066,100019,Manager Coaching Skills,Leadership,2024-10-21,2024-11-22,Completed,70.1,18.2,True
300067,100020,New Hire Onboarding,Onboarding,2022-09-06,,In Progress,,8.9,False
300068,100020,Leadership Essentials,Leadership,2025-11-24,,Completed,51.3,21.4,True
300069,100021,New Hire Onboarding,Onboarding,2024-07-20,,In Progress,,5.1,False
300070,100021,New Hire Onboarding,Onboarding,2025-02-22,2025-04-04,Completed,92.8,4.2,True
