attendance_id,employee_id,attendance_date,scheduled_hours,worked_hours,absence_flag,absence_type,late_minutes
800001,100001,09/03/2025,7.5,7.7,N,,0
800002,100001,2025-09-17,7.5,7.0,FALSE,,0
800003,100001,2025-09-25,8.0,0.0,1,UNKNOWN,0
800004,100001,2025-09-29,8.0,7.7,N,,0
800005,100001,"Oct 01, 2025",9.0,8.7,0,,0
800006,100001,10/03/2025,8.0,8.8,FALSE,,0
800007,100001,2025-10-09,8.0,7.2,FALSE,,45
800008,100001,10/20/2025,8.0,8.0,0,,10
800009,100001,2025-10-21,9.0,9.1,N,,0
800010,100001,23-10-2025,8.0,8.2,No,,0
800011,100001,"Oct 29, 2025",8.0,7.2,0,,0
800012,100001,2025-10-30,8.0,8.2,No,,0
800013,100001,2025-11-06,7.5,6.5,FALSE,,10
800014,100001,2025-11-18,7.5,7.8,No,,5
800015,100001,2025-11-24,8.0,7.7,N,,10
800016,100001,"Nov 25, 2025",9.0,8.7,No,,0
800017,100001,12/05/2025,8.0,7.0,No,,5
800018,100001,12/12/2025,9.0,8.9,No,,0
800019,100001,2025-12-15,8.0,7.8,No,,0
800020,100001,2025-12-16,8.0,7.8,FALSE,,0
800021,100001,12/18/2025,8.0,7.2,0,,0
800022,100001,2025-12-24,8.0,7.8,N,,0
800023,100001,2026-01-14,7.5,7.6,0,,0
800024,100001,"Feb 09, 2026",8.0,7.9,No,,10
800025,100001,2026-02-10,8.0,8.1,N,,0
800026,100001,"Feb 11, 2026",8.0,8.6,0,,15
800027,100001,2026-02-17,7.5,8.1,0,,0
800028,100001,"Feb 19, 2026",8.0,8.2,0,,0
800029,100001,2026-04-02,8.0,8.6,FALSE,,10
800030,100001,"Apr 13, 2026",9.0,8.5,0,,30
800031,100001,2026-04-20,9.0,9.5,N,,0
800032,100001,2026-04-21,7.5,8.2,N,,0
800033,100001,2026-04-22,9.0,9.3,No,,0
800034,100001,2026-04-24,7.5,6.9,N,,0
800035,100001,2026-04-29,9.0,8.7,N,,0
800036,100001,2026-04-30,8.0,8.5,FALSE,,0
800037,100002,"Feb 09, 2026",9.0,8.6,FALSE,,0
800038,100002,02/10/2026,8.0,7.3,N,,0
800039,100002,2026-02-11,9.0,9.9,N,,0
800040,100002,2026-02-17,8.0,7.7,0,,0
800041,100002,2026-02-19,7.5,8.0,N,,0
800042,100002,02-04-2026,9.0,8.3,N,,10
800043,100002,2026-04-13,8.0,8.5,0,,0
800044,100002,04/20/2026,7.5,7.6,0,,0
800045,100002,2026-04-21,9.0,8.7,FALSE,,5
800046,100002,2026-04-22,8.0,7.3,FALSE,,0
800047,100002,2026-04-24,7.5,7.6,No,,0
800048,100002,2026-04-29,8.0,0.0,Yes,No Show,0
800049,100002,2026-04-30,8.0,7.9,No,,0
800050,100003,2025-09-03,8.0,7.7,FALSE,,30
800051,100003,2025-09-17,8.0,7.4,FALSE,,10
800052,100003,2025-09-25,8.0,7.9,0,,0
800053,100003,29-09-2025,8.0,7.1,0,,10
800054,100003,01-10-2025,7.5,7.8,No,,0
800055,100003,2025-10-03,7.5,8.4,N,,60
800056,100003,2025-10-09,8.0,6.9,N,,0
800057,100003,2025-10-20,8.0,7.9,N,,0
800058,100003,2025-10-21,7.5,8.7,0,,0
800059,100003,2025-10-23,8.0,8.1,N,,0
800060,100003,2025-10-29,7.5,9.1,0,,0
800061,100003,2025-10-30,8.0,7.8,0,,0
800062,100003,"Nov 06, 2025",8.0,8.5,FALSE,,0
800063,100003,"Nov 18, 2025",8.0,7.7,FALSE,,10
800064,100003,2025-11-24,8.0,0.0,1,,0
800065,100003,2025-11-25,8.0,8.4,FALSE,,0
800066,100003,2025-12-05,8.0,7.9,FALSE,,0
800067,100003,2025-12-12,8.0,8.7,FALSE,,30
800068,100003,2025/12/15,9.0,9.0,No,,0
800069,100003,2025-12-16,8.0,8.3,0,,0
800070,100003,12/18/2025,8.0,8.1,No,,0
800071,100003,2025-12-24,8.0,7.8,FALSE,,10
800072,100003,2026-01-14,8.0,7.1,FALSE,,0
800073,100003,02/09/2026,8.0,8.3,N,,0
800074,100003,2026-02-10,7.5,6.7,0,,0
800075,100003,2026-02-11,8.0,8.3,FALSE,,0
800076,100003,2026-02-17,8.0,7.9,FALSE,,0
800077,100003,2026-02-19,9.0,9.0,FALSE,,0
800078,100003,2026-04-02,9.0,10.3,0,,0
800079,100003,2026-04-13,8.0,7.8,No,,0
800080,100003,04/20/2026,9.0,8.9,FALSE,,0
800081,100003,2026-04-21,9.0,9.1,N,,0
800082,100003,2026-04-22,8.0,7.6,N,,5
800083,100003,2026-04-24,9.0,9.6,N,,0
800084,100003,2026-04-29,8.0,8.2,FALSE,,0
800085,100003,2026-04-30,9.0,8.5,N,,15
800086,100004,2025-12-12,8.0,7.9,0,,30
800087,100004,2025-12-15,8.0,7.9,N,,0
800088,100004,12/16/2025,8.0,8.3,FALSE,,0
800089,100004,2025/12/18,8.0,7.5,N,,0
800090,100004,2025-12-24,8.0,0.0,1,UNKNOWN,0
800091,100004,2026-01-14,8.0,7.8,N,,0
800092,100004,2026-02-09,7.5,7.7,0,,0
800093,100004,2026-02-10,8.0,8.3,N,,0
800094,100004,2026-02-11,9.0,9.7,No,,0
800095,100004,17-02-2026,9.0,0.0,Y,UNKNOWN,0
800096,100004,2026-02-19,8.0,8.0,FALSE,,0
800097,100004,2026-04-02,9.0,8.7,FALSE,,0
800098,100004,2026-04-13,8.0,7.6,0,,10
800099,100004,2026-04-20,8.0,7.3,FALSE,,0
800100,100004,2026-04-21,7.5,8.2,0,,30
800101,100004,2026-04-22,7.5,8.1,No,,0
800102,100004,2026-04-24,8.0,8.4,N,,0
800103,100004,2026-04-29,9.0,8.9,N,,0
800104,100004,2026/04/30,8.0,7.5,No,,0
800105,100006,2025-09-03,8.0,8.0,0,,0
800106,100006,2025-09-17,8.0,9.1,FALSE,,0
800107,100006,2025-09-25,9.0,8.9,No,,0
800108,100006,2025-09-29,8.0,8.7,N,,0
800109,100006,2025-10-01,7.5,7.7,0,,0
800110,100006,2025-10-03,8.0,8.5,FALSE,,0
800111,100006,2025-10-09,8.0,7.7,N,,5
800112,100006,2025-10-20,9.0,9.4,0,,0
800113,100006,2025-10-21,8.0,7.2,No,,0
800114,100006,2025-10-23,8.0,8.4,No,,0
800115,100006,2025-10-29,8.0,7.3,No,,0
800116,100006,30-10-2025,8.0,8.7,0,,45
800117,100006,11/06/2025,9.0,8.0,FALSE,,0
800118,100006,2025-11-18,8.0,7.3,No,,0
800119,100006,11/24/2025,8.0,7.9,No,,5
800120,100006,2025-11-25,8.0,8.6,FALSE,,45
800121,100006,2025-12-05,8.0,7.6,FALSE,,10
800122,100006,2025-12-12,8.0,8.9,N,,45
800123,100006,2025-12-15,7.5,7.8,N,,0
800124,100006,16-12-2025,9.0,9.0,FALSE,,10
800125,100006,2025/12/18,9.0,8.8,FALSE,,0
800126,100006,2025-12-24,7.5,7.1,FALSE,,0
800127,100006,2026-01-14,8.0,8.1,FALSE,,0
800128,100006,2026-02-09,7.5,8.4,No,,0
800129,100006,2026-02-10,8.0,7.5,0,,0
800130,100006,2026/02/11,7.5,8.0,No,,0
800131,100006,2026-02-17,8.0,8.5,No,,0
800132,100006,19-02-2026,8.0,7.5,0,,0
800133,100006,2026-04-02,7.5,7.4,N,,0
800134,100006,2026-04-13,7.5,7.0,FALSE,,0
