history_id,employee_id,department_id,job_role_id,start_date,end_date,change_reason
600001,100001,3,110,2015-08-08,,Original Assignment
600002,100002,1,104,02-02-2026,,Original Assignment
600003,100003,2,106,2014-01-27,2016-01-05,Original Assignment
600004,100003,9,131,01/06/2016,,Lateral Transfer
600005,100004,6,120,2025-12-12,,Original Assignment
600006,100005,1,101,2021-05-30,2024/08/07,Original Assignment
600007,100006,10,134,2015-02-19,2016-08-25,Initial Hire
600008,100006,4,113,31/31/2024,,Manager Request
600009,100007,1,101,2021-01-13,"Feb 27, 2025",Original Assignment
600010,100008,9,129,2016-12-21,,Original Assignment
600011,100009,1,101,2024-12-16,,Original Assignment
600012,100010,10,134,2023-02-12,,Original Assignment
600013,100011,4,116,2014-07-13,,Original Assignment
600014,100012,1,101,2023-10-13,,Original Assignment
600015,100013,9,130,2023-12-02,2024-07-19,Original Assignment
600016,100013,4,116,2024-07-20,,Promotion
600017,100014,1,102,2016-05-23,2018-05-29,Original Assignment
600018,100014,6,120,2018-05-30,,Promotion
600019,100015,1,101,2019-05-14,2024-03-24,Original Assignment
600020,100016,2,108,08/26/2014,,Original Assignment
600021,100017,6,120,2014-11-26,,Original Assignment
600022,100018,7,125,2016-09-18,2021-09-10,Original Assignment
600023,100019,3,112,"Jun 03, 2024",17-06-2025,Original Assignment
600024,100020,2,106,2021-06-02,"Apr 14, 2026",Original Assignment
600025,100021,3,111,2024-07-12,2025-12-27,Original Assignment
600026,100022,3,109,2015-10-28,2026-01-10,Original Assignment
600027,100022,1,102,2026-01-11,,Promotion
600028,100023,3,111,2016-10-15,,Original Assignment
600029,100024,9,130,"Jan 11, 2025",,Original Assignment
600030,100025,1,102,2015-02-27,2023/02/10,Original Assignment
600031,100026,6,120,2025/05/26,,Original Assignment
600032,100027,2,105,2022-07-21,,Original Assignment
600033,100028,4,114,2014-10-22,,Original Assignment
600034,100029,1,101,2017-03-18,,Original Assignment
600035,100030,8,128,2015-02-06,,Original Assignment
600036,100031,7,124,2026-02-05,,Original Assignment
600037,100032,4,116,2016-06-06,,Original Assignment
600038,100033,7,124,2016-03-22,,Original Assignment
600039,100034,3,110,2018-08-25,2021-09-19,Original Assignment
600040,100035,3,109,2020/10/06,,Original Assignment
600041,100036,7,123,2021-08-08,,Original Assignment
600042,100037,4,114,06/21/2017,,Original Assignment
600043,100038,1,101,2014-09-09,,Original Assignment
600044,100039,1,102,04-03-2014,2020-04-16,Original Assignment
600045,100040,6,120,2022-02-12,2025/01/23,Initial Hire
600046,100040,1,101,2025-01-24,,Department Transfer
600047,100041,5,119,2024-01-26,,Original Assignment
600048,100042,4,114,2018-03-23,11/15/2019,Original Assignment
600049,100042,2,105,2019-11-16,,Department Transfer
600050,100043,2,106,16-05-2017,2019-07-24,Original Assignment
600051,100044,7,124,2026-02-08,,Original Assignment
600052,100045,2,106,2025-10-30,,Original Assignment
600053,100046,7,124,2021/07/09,,Original Assignment
600054,100047,1,101,2021-11-30,,Original Assignment
600055,100048,5,118,2024-04-07,2024-11-21,Initial Hire
600056,100048,1,101,11/22/2024,,Promotion
