review_id,employee_id,review_date,performance_score,manager_score,goals_met_percentage,promotion_recommended,reviewer_id
700001,100001,02/17/2026,3.22,2.65,50.6,FALSE,100988
700002,100003,2024-10-07,4.55,4.42,83.3,FALSE,100002
700003,100004,04/14/2026,3.29,3.58,76.0,0,101545
700004,100004,2026-04-25,2.63,1.41,43.6,0,100575
700005,100005,2023-03-29,4.57,4.19,118.4,0,100002
700006,100005,2023-08-30,4.95,3.97,78.7,0,100002
700007,100006,"Feb 28, 2022",3.77,4.42,80.1,FALSE,100852
700008,100006,2025-01-12,4.53,4.32,78.7,No,100180
700009,100007,2021-12-28,4.16,4.10,84.8,TRUE,100002
700010,100007,2023-01-19,4.85,4.99,112.4,Yes,100002
700011,100007,2024-03-26,4.13,3.58,92.1,FALSE,100002
700012,100007,2024-04-15,3.82,4.82,58.9,0,100002
700013,100008,2021-12-09,4.57,5.00,112.8,No,100003
700014,100008,2023-04-18,3.52,3.44,83.5,0,100003
700015,100008,"Jan 20, 2025",4.03,4.12,70.7,1,100003
700016,100008,01/04/2026,3.78,4.23,70.0,No,100003
700017,100009,2025/11/27,3.20,3.71,,0,100002
700018,100010,2024-05-12,4.23,4.79,83.6,TRUE,101539
700019,100010,2025-08-28,4.70,4.84,101.1,FALSE,100379
700020,100010,2025/12/19,3.84,3.92,72.7,0,100681
700021,100010,2026-04-04,4.17,3.60,59.5,TRUE,101266
700022,100011,2023-04-21,4.44,4.82,84.3,TRUE,100624
700023,100011,2023-05-17,4.80,5.00,98.7,TRUE,100680
700024,100011,08/23/2024,4.64,5.00,107.5,FALSE,100784
700025,100011,2025-07-02,5.00,4.71,104.5,FALSE,100319
700026,100012,2024-05-13,3.38,3.24,84.3,0,101624
700027,100013,2024-07-18,4.35,4.24,74.2,TRUE,100272
700028,100013,2025-01-01,4.18,4.06,78.0,0,101708
700029,100013,05/19/2025,3.67,3.95,,No,101536
700030,100013,22-08-2025,3.68,3.67,48.2,No,101146
700031,100014,2023-05-06,4.22,3.90,93.0,TRUE,100063
700032,100014,2024-07-01,4.96,,,FALSE,100840
700033,100014,2024-10-21,4.27,4.56,66.2,No,101711
700034,100015,2021/03/22,4.89,4.87,89.0,FALSE,100002
700035,100015,2022-03-01,4.67,4.36,90.3,Yes,100002
700036,100015,"Oct 04, 2022",4.61,4.68,79.7,TRUE,100002
700037,100015,2023-05-18,4.81,4.15,96.6,No,100002
700038,100016,2025-10-04,3.06,3.37,64.8,No,100136
700039,100016,2025-11-01,2.65,2.41,46.1,No,101632
700040,100016,2025-11-24,2.71,,,No,101623
700041,100017,2021-06-26,3.08,3.29,84.6,0,100003
700042,100017,2023-12-14,3.11,3.50,82.2,0,100003
700043,100017,14-02-2024,3.63,3.75,85.2,No,100003
700044,100017,"Mar 29, 2025",2.93,3.24,84.7,No,100003
700045,100018,02/14/2021,3.37,3.46,61.7,0,100010
700046,100019,2025-01-13,2.63,2.46,55.0,0,100010
700047,100019,02/25/2025,3.44,3.62,93.9,0,100010
700048,100020,2023-11-28,3.23,2.63,62.2,No,100016
700049,100020,2024-11-28,3.05,3.62,69.3,0,100016
700050,100020,2024-12-18,3.12,2.36,83.3,0,100016
700051,100020,2025-03-10,3.61,3.37,54.7,0,100016
700052,100021,26-04-2025,2.94,3.07,54.8,No,100019
700053,100021,2025-05-05,2.82,2.67,75.2,No,100019
700054,100021,2025-09-06,2.48,2.13,54.9,0,100019
700055,100021,2025-09-12,2.45,2.06,45.0,No,100019
700056,100022,17-06-2022,3.90,3.56,93.7,Yes,100002
700057,100022,08/29/2024,3.65,4.04,71.4,0,100002
700058,100022,2025-01-24,3.08,3.06,57.8,0,100002
700059,100023,2024-11-29,2.92,2.50,47.2,No,100477
700060,100024,2025-05-20,3.38,3.75,58.4,FALSE,100003
700061,100024,05/29/2025,3.71,3.70,87.0,No,100003
700062,100024,2025-06-15,3.72,3.86,79.4,0,100003
700063,100024,2026-03-08,3.97,4.12,82.0,0,100003
700064,100025,2021-07-28,3.74,3.86,51.7,No,100002
700065,100025,2021-09-03,3.42,3.17,48.1,No,100002
700066,100025,2022-01-10,4.00,4.46,86.2,FALSE,100002
700067,100025,04/07/2022,2.97,3.07,85.9,0,100002
700068,100026,11/30/2025,3.28,3.80,86.2,No,100018
700069,100026,2025/12/09,4.24,4.13,99.9,No,100018
700070,100026,18-12-2025,3.40,3.80,55.1,FALSE,100018
700071,100027,07/06/2023,3.87,3.70,71.0,Yes,100219
700072,100027,"Aug 14, 2024",4.09,4.14,88.6,TRUE,100647
700073,100027,"Jan 28, 2026",3.90,4.27,79.4,Yes,101724
700074,100028,2024-03-30,3.71,3.34,88.1,0,100352
700075,100029,2024-03-16,3.34,3.45,61.8,No,100022
700076,100029,2024-12-11,3.20,3.10,62.4,No,100022
700077,100030,2021-12-22,2.63,3.04,45.5,0,101518
700078,100030,2024-03-02,2.32,2.46,38.9,FALSE,101590
700079,100030,2025-02-17,3.14,2.95,41.6,0,101332
700080,100030,04/24/2025,2.72,2.87,64.4,FALSE,100382
700081,100032,2021-10-21,3.55,3.32,61.7,FALSE,100896
700082,100032,2022-07-31,3.48,3.29,69.0,FALSE,100553
700083,100032,2023-07-31,3.88,3.72,67.4,Yes,100226
700084,100032,2025-02-23,3.33,3.39,65.8,0,101339
700085,100033,2022/11/10,3.85,3.74,71.5,Yes,100018
700086,100034,"Jan 07, 2021",4.13,4.06,88.1,FALSE,100023
700087,100034,2021-03-11,3.13,3.36,71.5,FALSE,100023
700088,100034,2021/03/16,4.05,4.35,91.9,TRUE,100023
700089,100035,05-07-2021,3.57,4.25,76.6,FALSE,100021
700090,100035,2022-05-14,4.06,3.61,92.7,FALSE,100021
700091,100035,2025-11-03,3.51,3.94,55.6,0,100021
700092,100035,"Apr 09, 2026",3.25,2.90,74.8,No,100021
700093,100036,07/15/2022,3.34,3.20,50.0,FALSE,100018
700094,100036,2024-08-11,4.09,5.00,66.8,Yes,100018
700095,100036,2025-05-02,3.97,3.63,78.3,FALSE,100018
700096,100036,2025-12-07,3.67,2.82,80.3,0,100018
700097,100037,2022-08-01,3.59,4.14,69.0,No,100032
700098,100037,24-10-2023,3.74,3.73,85.1,0,100032
700099,100037,2023-12-25,4.04,4.06,65.3,FALSE,100032
700100,100037,2025/06/02,3.35,3.10,65.9,No,100032
700101,100038,2021-07-12,4.18,4.80,76.7,Yes,100025
700102,100038,2023-06-03,3.66,3.77,90.7,0,100025
700103,100038,2024-01-25,4.23,4.16,74.9,No,100025
700104,100040,2023-08-29,2.88,2.40,74.2,No,100025
700105,100040,09/01/2023,2.94,2.88,57.0,FALSE,100025
700106,100040,2026-02-18,2.67,2.25,41.9,0,100025
700107,100041,2024-10-03,4.10,4.66,76.2,FALSE,101670
700108,100042,2022/05/30,2.56,2.41,47.8,FALSE,100016
700109,100042,07/10/2023,2.88,3.38,62.4,FALSE,100016
700110,100045,2026-04-24,3.30,3.54,70.6,0,100016
700111,100046,2022-05-30,3.52,3.21,90.6,0,100018
700112,100046,06/26/2022,3.49,1.74,64.8,FALSE,100018
700113,100046,2024-03-23,3.19,3.65,70.7,No,100018
700114,100046,2024-10-22,2.90,3.59,50.9,No,100018
700115,100047,2023-12-20,3.62,3.28,67.8,0,100002
700116,100047,2025-03-27,3.83,3.33,94.4,0,100002
700117,100047,2025-07-24,3.53,3.53,63.7,FALSE,100002
700118,100048,2025-06-12,3.17,2.20,58.4,FALSE,100025
700119,100048,2025-12-08,3.68,3.60,83.2,0,100025
700120,100049,2024-01-06,3.05,2.90,41.0,0,100019
700121,100050,2021-01-29,3.47,4.02,50.0,No,100025
700122,100050,2024-08-28,3.19,3.79,79.8,0,100025
700123,100050,2024-09-07,2.82,2.86,51.1,FALSE,100025
700124,100050,2024-10-12,3.72,3.35,57.1,0,100025
700125,100051,2024-07-01,3.56,3.26,73.4,0,100887
700126,100051,"Jul 01, 2024",4.02,4.33,90.3,FALSE,100627
700127,100051,2024-07-14,3.32,3.62,69.3,0,100293
700128,100051,01/27/2025,3.80,4.03,65.5,FALSE,100265
700129,100052,"May 04, 2025",2.61,2.75,87.2,FALSE,100016
700130,100052,18-08-2025,2.51,2.36,48.2,No,100016
700131,100052,2026-01-10,3.29,2.65,58.4,FALSE,100016
700132,100053,2022-02-25,4.07,4.01,69.9,Yes,100032
700133,100053,2023-01-11,4.09,3.18,76.4,1,100032
700134,100053,04-04-2025,3.67,3.75,69.0,FALSE,100032
700135,100053,2025-11-02,3.81,4.50,66.9,0,100032
700136,100054,06/18/2023,3.18,3.04,52.4,FALSE,100016
700137,100054,2024-02-02,3.57,4.10,78.3,FALSE,100016
700138,100054,2024-07-09,3.12,2.40,65.3,0,100016
700139,100054,2024-07-20,2.66,2.83,45.1,No,100016
700140,100055,2023-01-05,2.97,3.17,25.9,FALSE,100019
700141,100055,2023/12/13,3.82,3.13,78.7,Yes,100019
700142,100056,2021-01-10,3.49,3.97,47.1,No,101836
700143,100056,"May 13, 2025",4.00,4.14,93.0,Yes,100172
700144,100057,2025-10-06,4.00,,92.6,TRUE,100023
700145,100057,"Feb 28, 2026",3.89,3.93,81.3,FALSE,100023
700146,100057,2026-04-20,3.84,3.99,94.5,No,100023
700147,100058,2021-08-22,4.98,4.34,96.9,1,100016
700148,100058,2025-06-02,5.00,4.32,92.2,TRUE,100016
700149,100059,08/14/2025,4.29,3.48,92.7,TRUE,100016
700150,100060,2022-12-06,3.54,2.90,76.5,FALSE,100002
700151,100060,2023-09-27,3.10,2.59,59.2,FALSE,100002
700152,100060,"May 28, 2024",4.22,4.16,90.0,0,100002
700153,100061,2025-07-01,3.24,3.01,46.1,FALSE,100059
700154,100061,2025-09-12,3.35,3.86,65.9,0,100059
700155,100061,2025-11-02,3.82,3.75,93.6,Yes,100059
700156,100062,2021-06-26,4.07,4.18,74.6,TRUE,100002
700157,100062,01/08/2022,3.95,4.10,91.4,Yes,100002
700158,100062,2022-07-15,4.11,3.41,79.4,Yes,100002
700159,100063,2021-04-12,4.47,4.32,110.4,1,100999
700160,100063,2021-10-29,4.27,3.48,101.0,0,101746
700161,100063,2021-12-31,4.74,5.00,104.6,1,100368
700162,100064,"Oct 30, 2025",3.40,3.01,,No,100019
700163,100064,2025-11-07,3.28,2.86,88.0,0,100019
700164,100067,07/25/2023,3.13,2.65,67.1,0,100022
