survey_id,employee_id,survey_date,satisfaction_score,engagement_score,work_life_balance_score,manager_relationship_score,career_growth_score,compensation_satisfaction_score
900001,100001,"Oct 15, 2023",4,4,3,4,3,4
900002,100002,04/04/2026,2,3,3,3,2,2
900003,100002,2026-04-10,3,3,3,3,3,2
900004,100002,2026-04-19,2,2,3,3,2,2
900005,100002,2026-04-23,3,,3,3,3,3
900006,100003,05/17/2025,3,2,4,4,2,3
900007,100003,02/24/2026,3,3,3,3,2,2
900008,100005,2023-09-27,3,3,3,3,2,2
900009,100006,2022-09-05,4,3,3,4,3,4
900010,100006,09-12-2022,3,3,3,3,3,2
900011,100006,2023-08-10,3,3,3,,2,2
900012,100007,09/13/2022,3,4,,2,3,3
900013,100007,2023/03/31,3,4,4,3,3,3
900014,100007,2024-03-11,3,3,3,3,2,2
900015,100007,2024-10-20,3,2,3,2,4,3
900016,100008,2024-08-08,5,5,5,5,5,5
900017,100008,2025-08-02,4,4,5,5,4,4
900018,100009,2025-06-08,3,2,2,3,2,2
900019,100009,2025-09-06,3,2,4,3,3,3
900020,100010,2024-07-29,2,2,2,3,2,1
900021,100010,25-04-2025,3,2,3,3,2,3
900022,100010,2025-12-11,2,3,2,2,2,2
900023,100010,"Jan 30, 2026",2,2,2,2,2,2
900024,100011,2022-12-13,5,,4,5,5,4
900025,100011,2025/06/01,4,4,5,4,4,4
900026,100012,2024-03-20,5,5,4,4,5,4
900027,100013,2024-11-20,4,4,3,3,,4
900028,100015,2023-10-18,2,2,2,2,1,1
900029,100019,2024-08-12,2,2,2,2,3,3
900030,100019,2024-11-24,2,2,2,2,3,2
900031,100020,2022-01-17,2,2,2,3,2,2
900032,100020,30-08-2022,3,2,2,3,3,2
900033,100020,11-02-2023,2,1,2,1,2,2
900034,100020,23-02-2023,3,3,2,2,3,1
900035,100021,31/31/2024,2,1,2,2,2,2
900036,100021,2025-04-14,1,2,1,2,1,1
900037,100022,2022-10-26,3,3,2,3,2,3
900038,100022,2024-12-25,3,3,2,2,3,2
900039,100022,2025-05-06,3,3,3,5,3,3
900040,100023,11/14/2022,3,4,3,2,,3
