training_id,employee_id,program_name,training_category,start_date,completion_date,completion_status,training_score,training_hours
300001,100001,New Hire Onboarding,Onboarding,2023-12-29,2024-02-01,Completed,78.5,7.5
300002,100001,Advanced Customer Handling,Customer Experience,"Aug 18, 2025",27-08-2025,Completed,72.8,12.1
300003,100001,New Hire Onboarding,Onboarding,2021-03-11,2021/04/05,Completed,74.1,8.2
300004,100002,Manager Coaching Skills,Leadership,2026-02-27,2026-03-26,Completed,63.1,21.3
300005,100003,Leadership Essentials,Leadership,2023-06-30,2023-07-02,Completed,79.1,24.4
300006,100004,New Hire Onboarding,Onboarding,24-12-2025,,Dropped,,6.7
300007,100004,SQL for Business Analysts,Technical,02/02/2026,2026-03-08,Completed,70.8,24.6
300008,100004,Manager Coaching Skills,Leadership,2026-02-15,2026-03-11,Completed,64.0,16.8
300009,100005,New Hire Onboarding,Onboarding,2024-03-26,2024-04-17,Completed,79.6,8.8
300010,100005,Product Discovery Basics,Product,2023-02-10,2023-03-07,Completed,80.4,8.9
300011,100005,Advanced Customer Handling,Customer Experience,2023-05-21,,In Progress,,13.8
300012,100005,Cybersecurity Awareness,Compliance,2024-01-18,2024-01-27,Completed,68.0,1.5
300013,100006,New Hire Onboarding,Onboarding,2025/07/13,07/30/2025,Completed,85.5,7.7
300014,100007,Secure Coding Basics,Technical,2021-03-13,2021-04-27,Completed,92.4,8.8
300015,100008,New Hire Onboarding,Onboarding,2025-08-12,2025-09-14,Complete,65.9,7.8
300016,100008,Advanced Customer Handling,Customer Experience,2026-01-11,,Completed,73.8,11.2
300017,100008,Conflict Resolution,Soft Skills,not available,,Assigned,,5.8
300018,100009,New Hire Onboarding,Onboarding,2026-02-19,28-02-2026,Completed,72.3,9.3
300019,100009,Enterprise Sales Methodology,Sales,2025-09-28,2025-10-20,Complete,94.0,14.4
300020,100010,New Hire Onboarding,Onboarding,2024-03-03,,In Progress,,5.4
300021,100010,SQL for Business Analysts,Technical,2024-01-24,,In Progress,,23.3
300022,100010,Secure Coding Basics,Technical,2026-02-15,,Assigned,,8.7
300023,100010,Power BI Fundamentals,Technical,2023-11-04,11/09/2023,Completed,70.5,16.1
300024,100011,New Hire Onboarding,Onboarding,2024-08-13,,In Progress,,7.8
300025,100011,Manager Coaching Skills,Leadership,2023-09-08,2023/10/21,Complete,81.8,14.0
300026,100011,New Hire Onboarding,Onboarding,2021-09-17,2021-10-13,Completed,100.0,7.4
300027,100011,Data Privacy and GDPR,Compliance,"Apr 01, 2025",2025-04-24,Completed,76.9,3.4
300028,100011,Leadership Essentials,Leadership,2024-05-02,2024-05-28,Complete,76.5,14.7
300029,100012,New Hire Onboarding,Onboarding,2025-05-16,2025-05-31,Completed,84.5,6.9
300030,100012,Power BI Fundamentals,Technical,2024-10-28,,Assigned,,14.9
300031,100012,Secure Coding Basics,Technical,2025-02-02,2025-02-12,Complete,91.2,10.9
300032,100012,SQL for Business Analysts,Technical,2025-03-25,2025-04-27,Completed,78.1,12.4
300033,100012,Manager Coaching Skills,Leadership,2025-09-24,2025-10-20,Completed,79.6,13.3
300034,100013,New Hire Onboarding,Onboarding,21-12-2025,"Dec 30, 2025",Completed,76.8,7.2
300035,100013,Manager Coaching Skills,Leadership,16-03-2024,04/15/2024,Completed,81.3,17.5
300036,100013,Cybersecurity Awareness,Compliance,12/08/2024,2025-01-22,Completed,77.1,2.9
300037,100013,Power BI Fundamentals,Technical,2024-02-10,,In Progress,,19.7
300038,100013,Leadership Essentials,Leadership,2024-12-24,,Assigned,,27.3
300039,100014,New Hire Onboarding,Onboarding,2026-03-02,,In Progress,,9.4
300040,100014,Leadership Essentials,Leadership,2025-12-24,,Completed,70.8,21.3
300041,100014,Enterprise Sales Methodology,Sales,02/20/2023,04/01/2023,Completed,68.3,20.5
300042,100015,New Hire Onboarding,Onboarding,2021-03-10,2021-03-31,Done,83.4,6.7
300043,100015,Cybersecurity Awareness,Compliance,2021-10-03,,Not Started,,2.2
300044,100015,Leadership Essentials,Leadership,2022-02-28,,In Progress,,21.3
300045,100015,Product Discovery Basics,Product,01/29/2023,2023-03-04,Completed,69.0,10.6
300046,100015,Advanced Customer Handling,Customer Experience,2023-12-23,2024-02-03,Done,89.4,16.9
300047,100015,Secure Coding Basics,Technical,17-05-2021,,Dropped,,9.4
300048,100015,SQL for Business Analysts,Technical,2021-04-19,05/19/2021,Completed,80.5,19.3
300049,100016,New Hire Onboarding,Onboarding,10-09-2022,,In Progress,,7.1
300050,100016,Manager Coaching Skills,Leadership,01-04-2021,,Not Started,,19.4
300051,100016,Conflict Resolution,Soft Skills,2022-12-25,2023-01-30,Complete,78.6,5.9
300052,100016,Advanced Customer Handling,Customer Experience,2022-07-20,2022-08-27,Completed,93.5,11.2
300053,100016,Enterprise Sales Methodology,Sales,2021-11-16,30-11-2021,Complete,87.0,13.2
300054,100016,Manager Coaching Skills,Leadership,"Jun 02, 2021",,Not Started,,14.5
300055,100017,New Hire Onboarding,Onboarding,2021-06-24,"Jul 31, 2021",Completed,96.8,6.4
300056,100018,New Hire Onboarding,Onboarding,2021-07-11,24-07-2021,Completed,71.4,7.6
300057,100018,Advanced Customer Handling,Customer Experience,01-05-2021,2021-05-03,Complete,80.9,12.5
300058,100018,Power BI Fundamentals,Technical,2021-08-30,,Not Started,,10.5
300059,100018,Leadership Essentials,Leadership,2021-04-02,,In Progress,,19.3
300060,100019,New Hire Onboarding,Onboarding,07/16/2024,,Not Started,,8.2
300061,100019,Manager Coaching Skills,Leadership,06/21/2024,2024-07-03,Complete,91.1,8.4
300062,100019,New Hire Onboarding,Onboarding,2025-03-31,2025-05-09,Completed,100.0,8.4
300063,100019,Advanced Customer Handling,Customer Experience,2024-07-25,,Not Started,,11.3
300064,100019,Enterprise Sales Methodology,Sales,2024-08-17,2024-09-03,Complete,82.0,13.3
300065,100019,Product Discovery Basics,Product,2024-10-20,2024-11-17,Completed,57.9,11.2
300066,100019,Manager Coaching Skills,Leadership,2024-10-21,2024-11-22,Completed,70.1,18.2
300067,100020,New Hire Onboarding,Onboarding,2022-09-06,,In Progress,,8.9
300068,100020,Leadership Essentials,Leadership,2025-11-24,,Completed,51.3,21.4
300069,100021,New Hire Onboarding,Onboarding,2024-07-20,,In Progress,,5.1
300070,100021,New Hire Onboarding,Onboarding,2025-02-22,2025-04-04,Completed,92.8,4.2
300071,100021,Power BI Fundamentals,Technical,2025-02-18,,Assigned,,12.9
300072,100021,Data Privacy and GDPR,Compliance,2025-06-23,,Not Started,,2.9
300073,100021,Enterprise Sales Methodology,Sales,2025-12-19,,Assigned,,18.2
300074,100022,Conflict Resolution,Soft Skills,"Aug 13, 2022",2022-08-24,Done,72.9,5.3
300075,100022,Advanced Customer Handling,Customer Experience,12/30/2021,,In Progress,,12.5
300076,100022,Secure Coding Basics,Technical,2022-03-01,,In Progress,,10.5
300077,100022,Data Privacy and GDPR,Compliance,2025-09-05,2025-10-03,Completed,88.0,3.6
300078,100023,New Hire Onboarding,Onboarding,2021-06-13,2021-07-17,Complete,71.6,7.5
300079,100023,Secure Coding Basics,Technical,04/03/2026,22-04-2026,Complete,96.0,7.7
300080,100023,Data Privacy and GDPR,Compliance,2024-11-03,"Nov 09, 2024",Completed,72.2,2.6
300081,100023,Enterprise Sales Methodology,Sales,2025-04-14,,Not Started,,15.5
300082,100023,SQL for Business Analysts,Technical,2025-10-01,,Completed,91.1,18.0
300083,100023,Advanced Customer Handling,Customer Experience,2025-05-27,2025-06-20,Complete,66.8,12.4
300084,100024,New Hire Onboarding,Onboarding,06/27/2025,,In Progress,,6.5
